dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_no_pe,1,0.5847,0.6713,0.5509,0.6911,0.6945,0.5443,0.2664,144,2,62,4712,3524,1178,18,21.61
FaceDetection,linear_conv_random_pe,1,0.7952,0.4386,0.7207,0.5832,0.7234,0.6413,0.2674,144,2,62,4712,3524,1178,17,21.9
FaceDetection,linear_conv_learnable_random_pe,1,0.7888,0.4471,0.7351,0.5546,0.7112,0.6532,0.2674,144,2,62,4712,3524,1178,16,21.8
FaceDetection,linear_conv_sinusoidal,1,0.8037,0.4289,0.7487,0.5554,0.697,0.6612,0.2676,144,2,62,4712,3524,1178,19,23.16
FaceDetection,linear_conv_learnable_sinusoidal,1,0.8559,0.3283,0.7666,0.5619,0.8046,0.6697,0.2676,144,2,62,4712,3524,1178,19,24.71
FaceDetection,linear_conv_0_8_gaussian_fpe,1,0.8412,0.3619,0.7037,0.7063,0.859,0.6263,0.2677,144,2,62,4712,3524,1178,19,24.44
FaceDetection,linear_conv_1_sinc_fpe,1,0.7583,0.4928,0.697,0.641,0.7516,0.607,0.2677,144,2,62,4712,3524,1178,18,24.09
FaceDetection,linear_conv_2_sinc_fpe,1,0.8576,0.3307,0.7105,0.7136,0.9087,0.6246,0.2677,144,2,62,4712,3524,1178,16,23.45
FaceDetection,linear_conv_5_sinc_fpe,1,0.819,0.4069,0.7785,0.5289,0.711,0.6688,0.2675,144,2,62,4712,3524,1178,17,24.46
FaceDetection,linear_no_pe,2,0.5796,0.6743,0.5696,0.6845,0.6907,0.5443,0.2664,144,2,62,4712,3524,1178,22,27.0
FaceDetection,linear_conv_random_pe,2,0.9022,0.2376,0.6986,0.825,1.0546,0.6229,0.2676,144,2,62,4712,3524,1178,16,22.03
FaceDetection,linear_conv_learnable_random_pe,2,0.8495,0.3413,0.7403,0.5917,0.7732,0.6532,0.2674,144,2,62,4712,3524,1178,17,23.83
FaceDetection,linear_conv_sinusoidal,2,0.8722,0.3009,0.7648,0.6372,0.9015,0.6524,0.2676,144,2,62,4712,3524,1178,18,25.51
FaceDetection,linear_conv_learnable_sinusoidal,2,0.8466,0.359,0.7674,0.5462,0.7659,0.6677,0.2676,144,2,62,4712,3524,1178,19,25.0
FaceDetection,linear_conv_0_8_gaussian_fpe,2,0.844,0.354,0.7148,0.6762,0.8724,0.6356,0.2677,144,2,62,4712,3524,1178,17,24.59
FaceDetection,linear_conv_1_sinc_fpe,2,0.7504,0.5022,0.6579,0.661,0.7645,0.5979,0.2677,144,2,62,4712,3524,1178,18,24.73
FaceDetection,linear_conv_2_sinc_fpe,2,0.7375,0.5208,0.7139,0.5764,0.6961,0.6331,0.2675,144,2,62,4712,3524,1178,18,25.16
FaceDetection,linear_conv_5_sinc_fpe,2,0.7888,0.4573,0.7674,0.5183,0.6703,0.6597,0.2675,144,2,62,4712,3524,1178,16,23.62
FaceDetection,linear_no_pe,3,0.5864,0.67,0.556,0.6834,0.6972,0.5395,0.2664,144,2,62,4712,3524,1178,21,26.06
FaceDetection,linear_conv_random_pe,3,0.8353,0.374,0.7266,0.6181,0.7849,0.6396,0.2676,144,2,62,4712,3524,1178,18,24.53
FaceDetection,linear_conv_learnable_random_pe,3,0.8555,0.3364,0.7292,0.6418,0.7971,0.6643,0.2674,144,2,62,4712,3524,1178,17,24.93
FaceDetection,linear_conv_sinusoidal,3,0.8045,0.4337,0.764,0.5359,0.6941,0.6637,0.2674,144,2,62,4712,3524,1178,19,26.36
FaceDetection,linear_conv_learnable_sinusoidal,3,0.8533,0.3427,0.7445,0.6351,0.8194,0.6592,0.2676,144,2,62,4712,3524,1178,18,25.24
FaceDetection,linear_conv_0_8_gaussian_fpe,3,0.7294,0.5408,0.7055,0.5873,0.6872,0.6291,0.2675,144,2,62,4712,3524,1178,17,24.16
FaceDetection,linear_conv_1_sinc_fpe,3,0.8071,0.4232,0.657,0.7413,0.8783,0.6047,0.2677,144,2,62,4712,3524,1178,18,25.39
FaceDetection,linear_conv_2_sinc_fpe,3,0.7994,0.4206,0.7139,0.6135,0.7851,0.6348,0.2677,144,2,62,4712,3524,1178,17,24.57
FaceDetection,linear_conv_5_sinc_fpe,3,0.7994,0.4311,0.7649,0.5098,0.6619,0.6688,0.2675,144,2,62,4712,3524,1178,19,25.23
FaceDetection,linear_no_pe,4,0.593,0.6677,0.5552,0.6935,0.6968,0.5332,0.2664,144,2,62,4712,3524,1178,21,26.79
FaceDetection,linear_conv_random_pe,4,0.9121,0.2234,0.6944,0.838,1.066,0.6373,0.2676,144,2,62,4712,3524,1178,17,24.17
FaceDetection,linear_conv_learnable_random_pe,4,0.8567,0.3364,0.7436,0.5727,0.7671,0.6677,0.2674,144,2,62,4712,3524,1178,16,23.53
FaceDetection,linear_conv_sinusoidal,4,0.7704,0.4841,0.7665,0.5223,0.6669,0.6515,0.2674,144,2,62,4712,3524,1178,19,26.06
FaceDetection,linear_conv_learnable_sinusoidal,4,0.8705,0.2999,0.7556,0.6207,0.8246,0.6635,0.2676,144,2,62,4712,3524,1178,20,27.01
FaceDetection,linear_conv_0_8_gaussian_fpe,4,0.7145,0.5535,0.6783,0.6172,0.7237,0.6039,0.2675,144,2,62,4712,3524,1178,18,25.44
FaceDetection,linear_conv_1_sinc_fpe,4,0.7733,0.4686,0.6808,0.6376,0.783,0.6087,0.2677,144,2,62,4712,3524,1178,19,25.8
FaceDetection,linear_conv_2_sinc_fpe,4,0.7795,0.4595,0.697,0.6235,0.7391,0.63,0.2677,144,2,62,4712,3524,1178,16,23.14
FaceDetection,linear_conv_5_sinc_fpe,4,0.8098,0.4242,0.77,0.524,0.6895,0.6609,0.2675,144,2,62,4712,3524,1178,19,26.09
FaceDetection,linear_no_pe,5,0.5528,0.6853,0.539,0.6923,0.6927,0.5219,0.2662,144,2,62,4712,3524,1178,17,23.18
FaceDetection,linear_conv_random_pe,5,0.8381,0.3643,0.7021,0.6495,0.7935,0.6487,0.2676,144,2,62,4712,3524,1178,18,25.49
FaceDetection,linear_conv_learnable_random_pe,5,0.823,0.3895,0.7258,0.5698,0.7325,0.6566,0.2674,144,2,62,4712,3524,1178,16,24.43
FaceDetection,linear_conv_sinusoidal,5,0.7856,0.4523,0.7479,0.5288,0.6972,0.6567,0.2674,144,2,62,4712,3524,1178,19,26.18
FaceDetection,linear_conv_learnable_sinusoidal,5,0.8363,0.3802,0.7513,0.6028,0.7576,0.6538,0.2676,144,2,62,4712,3524,1178,18,25.11
FaceDetection,linear_conv_0_8_gaussian_fpe,5,0.7279,0.5416,0.6918,0.5996,0.6951,0.6317,0.2675,144,2,62,4712,3524,1178,18,26.29
FaceDetection,linear_conv_1_sinc_fpe,5,0.7667,0.4849,0.6902,0.6534,0.7651,0.6189,0.2677,144,2,62,4712,3524,1178,17,24.33
FaceDetection,linear_conv_2_sinc_fpe,5,0.7842,0.4566,0.7114,0.6245,0.7513,0.624,0.2677,144,2,62,4712,3524,1178,17,24.18
FaceDetection,linear_conv_5_sinc_fpe,5,0.7835,0.4631,0.77,0.5165,0.6526,0.674,0.2675,144,2,62,4712,3524,1178,17,24.55
FaceDetection,linear_no_pe,6,0.5819,0.6718,0.5721,0.6889,0.695,0.5377,0.2664,144,2,62,4712,3524,1178,18,24.28
FaceDetection,linear_conv_random_pe,6,0.8336,0.3802,0.6969,0.6577,0.8204,0.6308,0.2676,144,2,62,4712,3524,1178,16,23.71
FaceDetection,linear_conv_learnable_random_pe,6,0.846,0.3646,0.7334,0.6061,0.7753,0.6439,0.2674,144,2,62,4712,3524,1178,15,22.88
FaceDetection,linear_conv_sinusoidal,6,0.7911,0.4598,0.7402,0.582,0.7111,0.6498,0.2674,144,2,62,4712,3524,1178,17,25.35
FaceDetection,linear_conv_learnable_sinusoidal,6,0.9024,0.2431,0.7606,0.7019,1.0216,0.6538,0.2676,144,2,62,4712,3524,1178,18,25.59
FaceDetection,linear_conv_0_8_gaussian_fpe,6,0.7386,0.521,0.7021,0.5972,0.7035,0.6291,0.2675,144,2,62,4712,3524,1178,20,25.94
FaceDetection,linear_conv_1_sinc_fpe,6,0.7689,0.4795,0.6774,0.6701,0.7885,0.5999,0.2677,144,2,62,4712,3524,1178,17,24.04
FaceDetection,linear_conv_2_sinc_fpe,6,0.8239,0.3903,0.7088,0.6448,0.8175,0.6308,0.2677,144,2,62,4712,3524,1178,19,26.22
FaceDetection,linear_conv_5_sinc_fpe,6,0.7982,0.4363,0.7674,0.5272,0.6657,0.6734,0.2675,144,2,62,4712,3524,1178,17,25.16
FaceDetection,linear_no_pe,7,0.5866,0.6702,0.5475,0.6951,0.6954,0.5346,0.2664,144,2,62,4712,3524,1178,18,24.24
FaceDetection,linear_conv_random_pe,7,0.7517,0.5054,0.702,0.6043,0.7101,0.6254,0.2674,144,2,62,4712,3524,1178,17,24.91
FaceDetection,linear_conv_learnable_random_pe,7,0.8467,0.3531,0.7445,0.5678,0.7684,0.6518,0.2674,144,2,62,4712,3524,1178,17,25.25
FaceDetection,linear_conv_sinusoidal,7,0.8633,0.3114,0.7444,0.6434,0.8824,0.6495,0.2676,144,2,62,4712,3524,1178,20,26.81
FaceDetection,linear_conv_learnable_sinusoidal,7,0.8752,0.3033,0.7487,0.6384,0.894,0.6575,0.2676,144,2,62,4712,3524,1178,18,25.67
FaceDetection,linear_conv_0_8_gaussian_fpe,7,0.8052,0.4211,0.6978,0.6475,0.8132,0.6155,0.2677,144,2,62,4712,3524,1178,18,25.31
FaceDetection,linear_conv_1_sinc_fpe,7,0.7598,0.4909,0.6758,0.6296,0.7483,0.6084,0.2677,144,2,62,4712,3524,1178,20,26.55
FaceDetection,linear_conv_2_sinc_fpe,7,0.7721,0.4788,0.7088,0.6232,0.7172,0.6379,0.2677,144,2,62,4712,3524,1178,17,25.42
FaceDetection,linear_conv_5_sinc_fpe,7,0.8056,0.4196,0.7598,0.5298,0.6842,0.6632,0.2675,144,2,62,4712,3524,1178,18,24.97
FaceDetection,linear_no_pe,8,0.5571,0.6834,0.5416,0.6925,0.6892,0.5386,0.2662,144,2,62,4712,3524,1178,13,21.11
FaceDetection,linear_conv_random_pe,8,0.8525,0.3403,0.7029,0.7073,0.886,0.6317,0.2676,144,2,62,4712,3524,1178,17,25.21
FaceDetection,linear_conv_learnable_random_pe,8,0.8209,0.4017,0.7335,0.5908,0.7186,0.6629,0.2674,144,2,62,4712,3524,1178,16,24.27
FaceDetection,linear_conv_sinusoidal,8,0.8754,0.2865,0.7631,0.6326,0.8918,0.6612,0.2676,144,2,62,4712,3524,1178,18,26.47
FaceDetection,linear_conv_learnable_sinusoidal,8,0.8591,0.3379,0.7555,0.5842,0.8104,0.6711,0.2676,144,2,62,4712,3524,1178,18,25.59
FaceDetection,linear_conv_0_8_gaussian_fpe,8,0.8374,0.3647,0.6876,0.7553,0.875,0.6302,0.2677,144,2,62,4712,3524,1178,19,26.02
FaceDetection,linear_conv_1_sinc_fpe,8,0.7237,0.5411,0.6792,0.616,0.7326,0.6024,0.2675,144,2,62,4712,3524,1178,19,26.19
FaceDetection,linear_conv_2_sinc_fpe,8,0.7769,0.4586,0.7122,0.6108,0.7401,0.6211,0.2677,144,2,62,4712,3524,1178,17,24.9
FaceDetection,linear_conv_5_sinc_fpe,8,0.8661,0.3148,0.7631,0.593,0.8162,0.6646,0.2677,144,2,62,4712,3524,1178,16,23.84
FaceDetection,linear_no_pe,9,0.59,0.6697,0.5408,0.6966,0.704,0.5295,0.2664,144,2,62,4712,3524,1178,16,23.12
FaceDetection,linear_conv_random_pe,9,0.9128,0.2155,0.7258,0.8436,1.0671,0.624,0.2676,144,2,62,4712,3524,1178,17,24.71
FaceDetection,linear_conv_learnable_random_pe,9,0.8939,0.2663,0.7326,0.7024,0.9339,0.6492,0.2676,144,2,62,4712,3524,1178,16,24.54
FaceDetection,linear_conv_sinusoidal,9,0.8688,0.3164,0.7547,0.6183,0.8332,0.6663,0.2676,144,2,62,4712,3524,1178,19,25.91
FaceDetection,linear_conv_learnable_sinusoidal,9,0.8054,0.4255,0.7691,0.5332,0.7171,0.662,0.2674,144,2,62,4712,3524,1178,18,25.12
FaceDetection,linear_conv_0_8_gaussian_fpe,9,0.7784,0.4692,0.7063,0.6179,0.7434,0.6286,0.2677,144,2,62,4712,3524,1178,18,25.76
FaceDetection,linear_conv_1_sinc_fpe,9,0.7683,0.4799,0.6816,0.6523,0.76,0.6155,0.2677,144,2,62,4712,3524,1178,16,23.65
FaceDetection,linear_conv_2_sinc_fpe,9,0.836,0.3723,0.7199,0.6655,0.8429,0.6231,0.2677,144,2,62,4712,3524,1178,17,24.34
FaceDetection,linear_conv_5_sinc_fpe,9,0.7893,0.4606,0.775,0.5209,0.6421,0.6728,0.2675,144,2,62,4712,3524,1178,18,24.83
FaceDetection,linear_no_pe,10,0.5762,0.6764,0.5662,0.6896,0.6922,0.5346,0.2664,144,2,62,4712,3524,1178,19,24.99
FaceDetection,linear_conv_random_pe,10,0.8493,0.3438,0.7182,0.6352,0.8305,0.6353,0.2676,144,2,62,4712,3524,1178,18,25.37
FaceDetection,linear_conv_learnable_random_pe,10,0.959,0.114,0.7266,0.9124,1.3402,0.6394,0.2676,144,2,62,4712,3524,1178,16,24.63
FaceDetection,linear_conv_sinusoidal,10,0.7971,0.4468,0.7547,0.5493,0.6891,0.6549,0.2674,144,2,62,4712,3524,1178,19,26.12
FaceDetection,linear_conv_learnable_sinusoidal,10,0.8234,0.3947,0.7623,0.5418,0.7233,0.6655,0.2676,144,2,62,4712,3524,1178,19,26.72
FaceDetection,linear_conv_0_8_gaussian_fpe,10,0.8164,0.3943,0.702,0.6691,0.8359,0.6308,0.2677,144,2,62,4712,3524,1178,17,24.26
FaceDetection,linear_conv_1_sinc_fpe,10,0.7351,0.5383,0.6647,0.6393,0.7481,0.6038,0.2675,144,2,62,4712,3524,1178,17,24.08
FaceDetection,linear_conv_2_sinc_fpe,10,0.7765,0.4686,0.713,0.5944,0.7404,0.6297,0.2675,144,2,62,4712,3524,1178,16,24.64
FaceDetection,linear_conv_5_sinc_fpe,10,0.8145,0.4206,0.7657,0.5302,0.6941,0.6643,0.2675,144,2,62,4712,3524,1178,17,24.2
InsectWingbeat,linear_no_pe,1,0.6705,0.8888,0.5884,1.1749,1.1884,0.5737,0.2553,200,10,22,20000,25000,5000,58,87.17
InsectWingbeat,linear_conv_random_pe,1,0.7187,0.7258,0.5894,1.1888,1.2064,0.5781,0.2565,200,10,22,20000,25000,5000,26,51.83
InsectWingbeat,linear_conv_learnable_random_pe,1,0.7175,0.7144,0.6016,1.1393,1.1474,0.5926,0.2565,200,10,22,20000,25000,5000,24,46.39
InsectWingbeat,linear_conv_sinusoidal,1,0.7066,0.7533,0.6168,1.0493,1.0614,0.6136,0.2565,200,10,22,20000,25000,5000,29,56.43
InsectWingbeat,linear_conv_learnable_sinusoidal,1,0.6778,0.8213,0.6212,1.0469,1.0692,0.6034,0.2565,200,10,22,20000,25000,5000,24,48.25
InsectWingbeat,linear_conv_0_8_gaussian_fpe,1,0.6871,0.8017,0.6286,1.0175,1.0435,0.6162,0.2566,200,10,22,20000,25000,5000,29,55.34
InsectWingbeat,linear_conv_1_sinc_fpe,1,0.7094,0.7452,0.628,1.0368,1.0566,0.6164,0.2566,200,10,22,20000,25000,5000,27,51.66
InsectWingbeat,linear_conv_2_sinc_fpe,1,0.7127,0.73,0.6156,1.0606,1.0786,0.6166,0.2566,200,10,22,20000,25000,5000,24,46.51
InsectWingbeat,linear_conv_5_sinc_fpe,1,0.7027,0.7647,0.6158,1.0877,1.1181,0.5906,0.2566,200,10,22,20000,25000,5000,27,50.34
InsectWingbeat,linear_no_pe,2,0.6668,0.9098,0.5934,1.1561,1.1807,0.5783,0.2553,200,10,22,20000,25000,5000,54,86.92
InsectWingbeat,linear_conv_random_pe,2,0.7296,0.7023,0.595,1.1803,1.1945,0.5848,0.2565,200,10,22,20000,25000,5000,29,55.33
InsectWingbeat,linear_conv_learnable_random_pe,2,0.7039,0.7595,0.61,1.1221,1.1476,0.591,0.2565,200,10,22,20000,25000,5000,24,45.61
InsectWingbeat,linear_conv_sinusoidal,2,0.7157,0.7299,0.6132,1.07,1.101,0.6036,0.2565,200,10,22,20000,25000,5000,32,58.32
InsectWingbeat,linear_conv_learnable_sinusoidal,2,0.6842,0.8112,0.6188,1.0591,1.056,0.6081,0.2565,200,10,22,20000,25000,5000,25,47.69
InsectWingbeat,linear_conv_0_8_gaussian_fpe,2,0.6947,0.7785,0.623,1.0344,1.0744,0.6091,0.2566,200,10,22,20000,25000,5000,26,50.58
InsectWingbeat,linear_conv_1_sinc_fpe,2,0.7145,0.7229,0.6222,1.0462,1.0644,0.6172,0.2566,200,10,22,20000,25000,5000,30,54.55
InsectWingbeat,linear_conv_2_sinc_fpe,2,0.7416,0.6601,0.6264,1.0694,1.0932,0.6206,0.2566,200,10,22,20000,25000,5000,32,58.56
InsectWingbeat,linear_conv_5_sinc_fpe,2,0.7043,0.7534,0.6064,1.1057,1.1052,0.603,0.2566,200,10,22,20000,25000,5000,28,52.97
InsectWingbeat,linear_no_pe,3,0.6529,0.9471,0.5764,1.1882,1.1999,0.5673,0.2553,200,10,22,20000,25000,5000,49,80.27
InsectWingbeat,linear_conv_random_pe,3,0.7246,0.7136,0.5876,1.2187,1.2105,0.5814,0.2565,200,10,22,20000,25000,5000,28,56.57
InsectWingbeat,linear_conv_learnable_random_pe,3,0.722,0.7098,0.5848,1.193,1.2204,0.5722,0.2565,200,10,22,20000,25000,5000,28,58.89
InsectWingbeat,linear_conv_sinusoidal,3,0.707,0.7509,0.623,1.0481,1.0808,0.6108,0.2565,200,10,22,20000,25000,5000,33,61.73
InsectWingbeat,linear_conv_learnable_sinusoidal,3,0.6849,0.8059,0.6148,1.038,1.0499,0.6092,0.2565,200,10,22,20000,25000,5000,22,43.34
InsectWingbeat,linear_conv_0_8_gaussian_fpe,3,0.7155,0.7292,0.6318,1.0667,1.0828,0.6169,0.2566,200,10,22,20000,25000,5000,26,52.75
InsectWingbeat,linear_conv_1_sinc_fpe,3,0.7035,0.7574,0.6102,1.0476,1.0755,0.609,0.2566,200,10,22,20000,25000,5000,24,47.48
InsectWingbeat,linear_conv_2_sinc_fpe,3,0.7029,0.7654,0.6212,1.0309,1.051,0.6159,0.2565,200,10,22,20000,25000,5000,27,51.16
InsectWingbeat,linear_conv_5_sinc_fpe,3,0.7182,0.7135,0.619,1.0686,1.1026,0.607,0.2566,200,10,22,20000,25000,5000,31,58.16
InsectWingbeat,linear_no_pe,4,0.6915,0.8385,0.5946,1.1698,1.1736,0.5875,0.2553,200,10,22,20000,25000,5000,67,110.54
InsectWingbeat,linear_conv_random_pe,4,0.6924,0.7902,0.5776,1.1937,1.1819,0.5766,0.2565,200,10,22,20000,25000,5000,26,51.27
InsectWingbeat,linear_conv_learnable_random_pe,4,0.7282,0.7013,0.605,1.154,1.1647,0.593,0.2565,200,10,22,20000,25000,5000,25,48.72
InsectWingbeat,linear_conv_sinusoidal,4,0.7018,0.7621,0.6098,1.0431,1.0707,0.6062,0.2565,200,10,22,20000,25000,5000,31,57.55
InsectWingbeat,linear_conv_learnable_sinusoidal,4,0.7155,0.7314,0.6162,1.0619,1.109,0.6056,0.2565,200,10,22,20000,25000,5000,29,54.92
InsectWingbeat,linear_conv_0_8_gaussian_fpe,4,0.7068,0.7522,0.6382,1.0174,1.0263,0.6243,0.2566,200,10,22,20000,25000,5000,27,50.81
InsectWingbeat,linear_conv_1_sinc_fpe,4,0.717,0.717,0.6112,1.0671,1.0795,0.6094,0.2566,200,10,22,20000,25000,5000,29,53.89
InsectWingbeat,linear_conv_2_sinc_fpe,4,0.7121,0.7365,0.6274,1.0611,1.0901,0.6123,0.2566,200,10,22,20000,25000,5000,30,56.0
InsectWingbeat,linear_conv_5_sinc_fpe,4,0.7035,0.7516,0.5974,1.1312,1.1334,0.5958,0.2566,200,10,22,20000,25000,5000,24,46.66
InsectWingbeat,linear_no_pe,5,0.6673,0.8941,0.5766,1.199,1.2126,0.5698,0.2553,200,10,22,20000,25000,5000,57,94.55
InsectWingbeat,linear_conv_random_pe,5,0.7242,0.7174,0.5806,1.2033,1.2077,0.5844,0.2565,200,10,22,20000,25000,5000,27,54.18
InsectWingbeat,linear_conv_learnable_random_pe,5,0.7373,0.6758,0.6116,1.1408,1.1734,0.598,0.2565,200,10,22,20000,25000,5000,27,54.58
InsectWingbeat,linear_conv_sinusoidal,5,0.711,0.7308,0.628,1.0239,1.0691,0.6158,0.2565,200,10,22,20000,25000,5000,31,60.61
InsectWingbeat,linear_conv_learnable_sinusoidal,5,0.7319,0.6913,0.609,1.1258,1.1596,0.5974,0.2565,200,10,22,20000,25000,5000,29,56.26
InsectWingbeat,linear_conv_0_8_gaussian_fpe,5,0.7033,0.7652,0.6238,1.0447,1.0596,0.6103,0.2566,200,10,22,20000,25000,5000,32,62.26
InsectWingbeat,linear_conv_1_sinc_fpe,5,0.6878,0.7978,0.6192,1.0298,1.0461,0.6151,0.2566,200,10,22,20000,25000,5000,29,57.5
InsectWingbeat,linear_conv_2_sinc_fpe,5,0.7012,0.7546,0.6158,1.0592,1.0669,0.6138,0.2566,200,10,22,20000,25000,5000,26,49.67
InsectWingbeat,linear_conv_5_sinc_fpe,5,0.7175,0.7204,0.6122,1.1083,1.1125,0.6067,0.2566,200,10,22,20000,25000,5000,28,57.18
InsectWingbeat,linear_no_pe,6,0.6536,0.9311,0.5856,1.176,1.1924,0.572,0.2553,200,10,22,20000,25000,5000,58,95.45
InsectWingbeat,linear_conv_random_pe,6,0.6843,0.817,0.591,1.1705,1.1744,0.5793,0.2565,200,10,22,20000,25000,5000,26,49.37
InsectWingbeat,linear_conv_learnable_random_pe,6,0.7134,0.749,0.5984,1.1187,1.1332,0.5933,0.2565,200,10,22,20000,25000,5000,24,47.31
InsectWingbeat,linear_conv_sinusoidal,6,0.6962,0.7715,0.6222,1.041,1.0538,0.6132,0.2565,200,10,22,20000,25000,5000,32,63.31
InsectWingbeat,linear_conv_learnable_sinusoidal,6,0.6943,0.774,0.61,1.0422,1.0838,0.6055,0.2565,200,10,22,20000,25000,5000,27,53.8
InsectWingbeat,linear_conv_0_8_gaussian_fpe,6,0.7064,0.7518,0.6178,1.0439,1.0479,0.6156,0.2566,200,10,22,20000,25000,5000,29,55.17
InsectWingbeat,linear_conv_1_sinc_fpe,6,0.7152,0.721,0.6238,1.0411,1.0792,0.6152,0.2566,200,10,22,20000,25000,5000,28,53.77
InsectWingbeat,linear_conv_2_sinc_fpe,6,0.724,0.6972,0.6254,1.0651,1.0934,0.6156,0.2566,200,10,22,20000,25000,5000,31,57.7
InsectWingbeat,linear_conv_5_sinc_fpe,6,0.6856,0.8066,0.6048,1.0977,1.1282,0.5936,0.2566,200,10,22,20000,25000,5000,28,54.19
InsectWingbeat,linear_no_pe,7,0.6768,0.8757,0.5896,1.1567,1.1777,0.5809,0.2553,200,10,22,20000,25000,5000,60,98.5
InsectWingbeat,linear_conv_random_pe,7,0.6833,0.8022,0.5934,1.1709,1.1657,0.581,0.2565,200,10,22,20000,25000,5000,23,46.6
InsectWingbeat,linear_conv_learnable_random_pe,7,0.6669,0.8674,0.591,1.1297,1.1321,0.5858,0.2565,200,10,22,20000,25000,5000,24,47.54
InsectWingbeat,linear_conv_sinusoidal,7,0.7169,0.7219,0.6196,1.0877,1.0881,0.6146,0.2565,200,10,22,20000,25000,5000,36,71.06
InsectWingbeat,linear_conv_learnable_sinusoidal,7,0.6897,0.7853,0.6196,1.0566,1.0622,0.6122,0.2565,200,10,22,20000,25000,5000,22,43.72
InsectWingbeat,linear_conv_0_8_gaussian_fpe,7,0.7179,0.7205,0.6208,1.0713,1.0867,0.6133,0.2566,200,10,22,20000,25000,5000,27,54.39
InsectWingbeat,linear_conv_1_sinc_fpe,7,0.7118,0.7289,0.6198,1.0497,1.0674,0.6122,0.2566,200,10,22,20000,25000,5000,28,54.08
InsectWingbeat,linear_conv_2_sinc_fpe,7,0.7252,0.6952,0.6206,1.0694,1.108,0.6094,0.2566,200,10,22,20000,25000,5000,31,59.08
InsectWingbeat,linear_conv_5_sinc_fpe,7,0.6922,0.7816,0.5986,1.1225,1.1419,0.5927,0.2566,200,10,22,20000,25000,5000,23,45.83
InsectWingbeat,linear_no_pe,8,0.6727,0.8816,0.5828,1.1849,1.2224,0.5697,0.2553,200,10,22,20000,25000,5000,54,89.86
InsectWingbeat,linear_conv_random_pe,8,0.669,0.8646,0.5764,1.1662,1.1781,0.5723,0.2565,200,10,22,20000,25000,5000,28,54.32
InsectWingbeat,linear_conv_learnable_random_pe,8,0.7007,0.7808,0.6044,1.1141,1.1277,0.5919,0.2565,200,10,22,20000,25000,5000,24,48.06
InsectWingbeat,linear_conv_sinusoidal,8,0.702,0.7677,0.617,1.0346,1.0736,0.612,0.2565,200,10,22,20000,25000,5000,28,56.69
InsectWingbeat,linear_conv_learnable_sinusoidal,8,0.7282,0.6842,0.6256,1.0893,1.1181,0.6106,0.2565,200,10,22,20000,25000,5000,30,60.05
InsectWingbeat,linear_conv_0_8_gaussian_fpe,8,0.6934,0.777,0.6232,1.0259,1.0459,0.6149,0.2566,200,10,22,20000,25000,5000,24,46.86
InsectWingbeat,linear_conv_1_sinc_fpe,8,0.7484,0.6594,0.6294,1.0523,1.1137,0.6134,0.2566,200,10,22,20000,25000,5000,33,62.27
InsectWingbeat,linear_conv_2_sinc_fpe,8,0.7166,0.7186,0.6234,1.0425,1.0686,0.6131,0.2566,200,10,22,20000,25000,5000,30,55.85
InsectWingbeat,linear_conv_5_sinc_fpe,8,0.7354,0.6835,0.6082,1.1185,1.1153,0.6076,0.2566,200,10,22,20000,25000,5000,31,58.08
InsectWingbeat,linear_no_pe,9,0.6768,0.8763,0.5838,1.1746,1.1703,0.5848,0.2553,200,10,22,20000,25000,5000,58,95.54
InsectWingbeat,linear_conv_random_pe,9,0.6882,0.8114,0.586,1.1732,1.1946,0.5735,0.2565,200,10,22,20000,25000,5000,31,59.89
InsectWingbeat,linear_conv_learnable_random_pe,9,0.6696,0.8618,0.5944,1.1194,1.1408,0.5772,0.2565,200,10,22,20000,25000,5000,26,49.77
InsectWingbeat,linear_conv_sinusoidal,9,0.7048,0.7544,0.622,1.0383,1.0625,0.6118,0.2565,200,10,22,20000,25000,5000,36,68.26
InsectWingbeat,linear_conv_learnable_sinusoidal,9,0.6757,0.819,0.6116,1.0605,1.0744,0.6032,0.2565,200,10,22,20000,25000,5000,28,53.46
InsectWingbeat,linear_conv_0_8_gaussian_fpe,9,0.712,0.7262,0.6186,1.0796,1.1116,0.6062,0.2566,200,10,22,20000,25000,5000,34,66.27
InsectWingbeat,linear_conv_1_sinc_fpe,9,0.719,0.7174,0.6222,1.0552,1.0756,0.6144,0.2566,200,10,22,20000,25000,5000,25,49.12
InsectWingbeat,linear_conv_2_sinc_fpe,9,0.7072,0.7469,0.6292,1.0352,1.0762,0.6117,0.2566,200,10,22,20000,25000,5000,31,60.17
InsectWingbeat,linear_conv_5_sinc_fpe,9,0.7037,0.76,0.608,1.1001,1.114,0.595,0.2566,200,10,22,20000,25000,5000,27,51.79
InsectWingbeat,linear_no_pe,10,0.6598,0.9206,0.5858,1.1565,1.1877,0.5749,0.2553,200,10,22,20000,25000,5000,60,97.63
InsectWingbeat,linear_conv_random_pe,10,0.6792,0.8272,0.5776,1.1872,1.177,0.5753,0.2565,200,10,22,20000,25000,5000,26,50.59
InsectWingbeat,linear_conv_learnable_random_pe,10,0.6952,0.7865,0.594,1.1198,1.1345,0.588,0.2565,200,10,22,20000,25000,5000,24,47.24
